2025-06-19 02:53:36.043 [warning] Dir "/home/hackathon_participant12/.pixi/envs" is not watchable (directory does not exist)
2025-06-19 02:53:36.208 [info] Python interpreter path: /bin/python
2025-06-19 02:53:40.535 [info] > pyenv which python
2025-06-19 02:53:40.535 [info] cwd: .
2025-06-19 02:53:51.071 [info] Starting Jedi language server for hackathon_participant12.
2025-06-19 03:00:59.180 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:01:02.258 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:01:03.751 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:01:34.214 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:01:36.464 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:02:27.074 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:13:31.808 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 03:25:31.633 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:25:37.196 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:25:39.516 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:25:47.427 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:25:51.071 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:26:23.186 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/agent.py
2025-06-19 03:26:25.589 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/agent.py
2025-06-19 03:26:34.195 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/agent.py
2025-06-19 03:26:41.940 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/agent.py
2025-06-19 03:26:44.001 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/agent.py
2025-06-19 03:29:48.777 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/agent.py
2025-06-19 03:30:46.021 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/gtm/agent.py
2025-06-19 03:30:48.607 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/gtm/agent.py
2025-06-19 03:30:53.017 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/gtm/agent.py
2025-06-19 03:30:58.471 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/gtm/agent.py
2025-06-19 03:31:38.214 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/gtm/prompt.py
2025-06-19 03:32:12.790 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/__init__.py
2025-06-19 03:32:20.053 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/gtm/__init__.py
2025-06-19 03:43:41.768 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:45:05.976 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:48:21.992 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:48:28.616 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:48:30.291 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:48:35.873 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:48:51.162 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:48:54.400 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:53:00.430 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:53:17.669 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/sub_agents/delivery/prompt.py
2025-06-19 03:57:52.985 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:18.220 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:24.740 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:29.501 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:43.592 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:46.468 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:48.987 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:01:59.977 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:10.825 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:13.921 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:17.645 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:19.167 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:20.841 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:25.262 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:02:30.361 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:05:41.554 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:06:22.100 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:06:24.494 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:06:26.839 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:06:41.607 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:12:12.537 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:12:13.511 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:15:55.435 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
2025-06-19 04:15:56.766 [info] Discover tests for workspace name: hackathon_participant12 - uri: /home/hackathon_participant12/product-manager/prompt.py
